,District,Latitude,longitude,ACTIVE CASES,CONFIRMED CASES,DECEASED CASES,RECOVERED CASES
414,Zunheboto,26.0,94.5,4,119,0,115
416,Angul,20.8382426,85.0973949,868,1902,4,1030
417,Balangir,20.75,83.25,929,2869,10,1930
418,Balasore,21.5002888,86.9202627,1155,5174,20,3999
419,Bargarh,21.3474637,83.65427922282043,1701,4323,9,2613
420,Bhadrak,21.0633288,86.5053731,906,3887,14,2967
421,Boudh,20.8415619,84.3213321,407,1093,0,686
422,Cuttack,20.4686,85.8792,3602,13015,51,9362
423,Deogarh,21.5370786,84.7301184,126,373,0,247
424,Dhenkanal,20.75,85.5,522,2539,2,2015
425,Gajapati,19.19557415,84.19297736346317,213,3152,19,2920
426,Ganjam,19.5,84.5,501,19211,223,18487
427,Jagatsinghpur,20.2593872,86.1660878,952,2996,6,2038
428,Jajpur,20.8522696,86.3385714,1492,5734,8,4234
429,Jharsuguda,21.87705125,84.00905063735019,818,2508,1,1689
430,Kalahandi,19.75,83.0,582,1977,5,1390
431,Kandhamal,20.13069385,84.07904760590154,492,2844,15,2337
432,Kendrapara,20.50040085,86.43170622796478,1045,3091,4,2042
433,Kendujhar,21.5892323,85.66878413736906,518,2865,10,2337
434,Khordha,20.22564715,85.56059465125232,7034,25996,102,18860
435,Koraput,18.7232023,82.60811827787269,790,4759,7,3962
436,Malkangiri,18.35835435,81.89823748747048,266,2788,11,2511
437,Mayurbhanj,21.75,86.5,1269,5618,13,4336
438,Nabarangapur,19.60962325,82.29876854111501,786,2128,4,1338
439,Nayagarh,20.1160666,85.11195643843573,604,3797,18,3175
440,Nuapada,20.769099750000002,82.51862845874122,781,1495,0,714
441,Puri,19.8076083,85.8252538,2063,6287,28,4196
442,Rayagada,18.965998550000002,84.19287455014992,712,6086,33,5341
443,Sambalpur,21.4,83.883333,881,3987,16,3090
444,Subarnapur,27.2274941,84.71486464642322,927,1743,4,812
445,Sundargarh,22.25,84.5,870,5533,42,4621
446,Amritsar,31.6343083,74.8736788,1424,6283,242,4617
447,Barnala,30.3704685,75.504017418548,417,1436,30,989
